year	boys	 girls	 total 	proportion_of_boys
1629	5218	4683	9901	1.114243
1630	4858	4457	9315	1.089971
1631	4422	4102	8524	1.078011
1632	4994	4590	9584	1.088017
NA	NA	NA	NA	NA
1633	5158	4839	9997	1.065923
1634	5035	4820	9855	1.044606
1635	5106	4928	10034	1.03612
1636	4917	4605	9522	1.067752
1637	4703	4457	9160	1.055194
1638	5359	4952	10311	1.082189
1639	5366	4784	10150	1.121656
1640	5518	5332	10850	1.034884
1641	5470	5200	10670	1.051923
1642	5460	4910	10370	1.112016
1643	4793	4617	9410	1.03812
1644	4107	3997	8104	1.027521
1645	4047	3919	7966	1.032661
1646	3768	3395	7163	1.109867
1647	3796	3536	7332	1.073529
1648	3363	3181	6544	1.057215
1649	3079	2746	5825	1.121267
1650	2890	2722	5612	1.061719
1651	3231	2840	6071	1.137676
1652	3220	2908	6128	1.10729
1653	3196	2959	6155	1.080095
1654	3441	3179	6620	1.082416
1655	3655	3349	7004	1.091371
1656	3668	3382	7050	1.084565
1657	3396	3289	6685	1.032533
1658	3157	3013	6170	1.047793
1659	3209	2781	5990	1.153901
1660	3724	3247	6971	1.146905
1661	4748	4107	8855	1.156075
1662	5216	4803	10019	1.085988
1663	5411	4881	10292	1.108584
1664	6041	5681	11722	1.063369
1665	5114	4858	9972	1.052697
1666	4678	4319	8997	1.083121
1667	5616	5322	10938	1.055242
1668	6073	5560	11633	1.092266
1669	6506	5829	12335	1.116143
1670	6278	5719	11997	1.097744
1671	6449	6061	12510	1.064016
1672	6443	6120	12563	1.052778
1673	6073	5822	11895	1.043112
1674	6113	5738	11851	1.065354
1675	6058	5717	11775	1.059647
1676	6552	5847	12399	1.120575
1677	6423	6203	12626	1.035467
1678	6568	6033	12601	1.088679
1679	6247	6041	12288	1.0341
1680	6548	6299	12847	1.03953
1681	6822	6533	13355	1.044237
1682	6909	6744	13653	1.024466
1683	7577	7158	14735	1.058536
1684	7575	7127	14702	1.06286
1685	7484	7246	14730	1.032846
1686	7575	7119	14694	1.064054
1687	7737	7214	14951	1.072498
1688	7487	7101	14588	1.054359
1689	7604	7167	14771	1.060974
1690	7909	7302	15211	1.083128
1691	7662	7392	15054	1.036526
1692	7602	7316	14918	1.039092
1693	7676	7483	15159	1.025792
1694	6985	6647	13632	1.05085
1695	7263	6713	13976	1.081931
1696	7632	7229	14861	1.055748
1697	8062	7767	15829	1.037981
1698	8426	7626	16052	1.104904
1699	7911	7452	15363	1.061594
1700	7578	7061	14639	1.073219
1701	8102	7514	15616	1.078254
1702	8031	7656	15687	1.048981
1703	7765	7683	15448	1.010673
1704	6113	5738	11851	1.065354
1705	8366	7779	16145	1.07546
1706	7952	7417	15369	1.072132
1707	8379	7687	16066	1.090022
1708	8239	7623	15862	1.080808
1709	7840	7380	15220	1.062331
1710	7640	7288	14928	1.048299
